,Subject,max_dice_diff,max_start,max_end,estimated_dice_origin
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/28,28,0.011211862,45,54,0.976592273
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/223,223,0.00451565,38,47,0.988101394
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/258,258,0.005749319,28,39,0.981827718
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/184,184,0.007985875,34,45,0.973242714
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/87,87,0.008583933,15,25,0.981033044
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/112,112,0.003555217,50,62,0.989033956
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/135,135,0.006914441,21,36,0.98447157
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/54,54,0.00670464,51,63,0.985312999
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/201,201,0.003630352,52,65,0.989480731
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/78,78,0.011298419,42,52,0.97922959
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/138,138,0.007957908,32,41,0.984167683
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/150,150,0.011200993,42,54,0.970950304
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/37,37,0.00818523,39,52,0.981898534
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/189,189,0.004493569,30,43,0.988447119
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/222,222,0.014595837,38,47,0.968332857
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/225,225,0.008392205,27,35,0.979454001
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/209,209,0.008876966,56,68,0.974917973
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/177,177,0.003849985,44,56,0.986371825
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/191,191,0.003233149,38,48,0.989087478
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/42,42,0.00787716,21,32,0.978831897
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/198,198,0.007481984,16,26,0.983264115
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/203,203,0.007635552,40,50,0.982599292
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/41,41,0.003725751,33,46,0.987710879
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/172,172,0.004302399,20,32,0.98840748
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/180,180,0.006232634,34,42,0.984693004
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/81,81,0.005845089,27,36,0.985329794
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/109,109,0.005183323,26,35,0.986256276
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/205,205,0.004062968,30,42,0.988129801
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/234,234,0.005398642,27,34,0.981772154
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/83,83,0.005351985,49,61,0.983435841
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/104,104,0.003967374,36,46,0.986783429
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/21,21,0.003413592,34,43,0.988728161
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/32,32,0.005876196,40,54,0.981915343
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/101,101,0.003324942,43,56,0.989528301
/home/bella/Phd/code/code_bella/log/818/output/tta_res_3/test/26,26,0.010096676,28,36,0.975595512
