,Subject,max_dice_diff,max_start,max_end,estimated_dice_origin
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/211,211,0.003361906,34,45,0.99141947
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/28,28,0.016164472,48,57,0.971035249
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/223,223,0.004450514,41,50,0.988781851
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/258,258,0.00246784,53,64,0.993217778
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/184,184,0.005781867,33,47,0.98126118
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/87,87,0.004911254,11,20,0.986291591
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/112,112,0.002427514,54,66,0.991937605
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/54,54,0.005500284,53,65,0.985259556
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/201,201,0.003340056,53,66,0.990233068
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/78,78,0.0050341,44,54,0.988586462
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/150,150,0.008644497,45,57,0.981391523
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/91,91,0.00378189,29,42,0.989648434
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/37,37,0.00340059,34,47,0.990015412
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/260,260,0.003372937,35,45,0.989230534
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/222,222,0.011904858,38,47,0.974091809
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/225,225,0.007673148,49,58,0.980086924
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/209,209,0.003135653,58,71,0.990402916
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/45,45,0.005669248,45,57,0.982697576
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/177,177,0.003447685,43,55,0.988510056
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/191,191,0.002597806,39,49,0.991226251
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/42,42,0.004885518,5,17,0.983464229
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/197,197,0.012117052,11,19,0.967154217
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/198,198,0.00702193,16,26,0.985134236
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/203,203,0.00792201,40,50,0.982323516
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/41,41,0.003114188,41,54,0.989895032
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/172,172,0.004520558,21,33,0.989117799
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/180,180,0.006135463,33,41,0.986417787
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/81,81,0.004311552,24,33,0.988478933
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/234,234,0.003421346,46,53,0.98879404
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/83,83,0.004402402,49,61,0.985353339
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/104,104,0.003809841,35,45,0.987181007
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/59,59,0.005095182,35,50,0.98748035
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/21,21,0.011983731,54,64,0.979835442
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/32,32,0.005801927,36,50,0.983554674
/home/bella/Phd/code/code_bella/log/813/output/tta_res_2/test/101,101,0.00308386,42,55,0.990793585
