,Subject,max_dice_diff,max_start,max_end,estimated_dice_origin
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/211,211,0.002582886,31,42,0.990974847
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/223,223,0.005643699,37,46,0.986942614
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/258,258,0.002603578,36,47,0.991974418
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/184,184,0.00901859,22,35,0.974200598
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/87,87,0.006870762,12,21,0.981076912
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/112,112,0.002943599,65,77,0.990701741
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/135,135,0.006923515,22,37,0.983771628
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/54,54,0.008615274,65,77,0.977609203
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/201,201,0.002374437,42,55,0.991531362
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/138,138,0.0072389,35,44,0.984858455
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/150,150,0.010071119,42,54,0.979402585
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/91,91,0.00424434,30,43,0.988994693
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/37,37,0.00316009,42,55,0.990059848
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/260,260,0.003084322,33,43,0.98942025
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/156,156,0.003632177,46,57,0.986552292
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/222,222,0.01418617,40,49,0.966355549
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/225,225,0.014984841,24,32,0.971150891
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/209,209,0.003111756,54,66,0.98991484
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/45,45,0.007398329,48,60,0.980746519
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/177,177,0.00364654,34,46,0.986097406
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/133,133,0.004583816,19,27,0.984568837
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/165,165,0.003560299,33,42,0.989613398
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/197,197,0.008045287,13,21,0.970795108
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/198,198,0.00760797,16,26,0.983781771
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/203,203,0.007455811,41,51,0.984135086
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/40,40,0.002571996,51,61,0.990786057
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/41,41,0.003626739,30,43,0.987995945
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/180,180,0.004510389,30,38,0.98921121
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/81,81,0.004733083,24,33,0.987341977
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/109,109,0.004337586,26,35,0.98801963
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/205,205,0.004321308,39,51,0.989458196
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/234,234,0.003985621,44,51,0.990244907
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/104,104,0.007459928,48,58,0.980840595
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/101,101,0.003764556,43,57,0.98982843
/home/bella/Phd/code/code_bella/log/810/output/tta_res_1/test/26,26,0.007961687,26,34,0.97913983
